City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Description
350,Batemans Bay,-35.7167,150.1833,61.32,58,100,light rain
351,Tuy Hoa,13.0833,109.3,90.46,56,88,overcast clouds
352,Xining,36.6167,101.7667,81.81,56,62,broken clouds
353,Villiers,-27.0303,28.6006,52.07,30,0,clear sky
354,Panlaitan,12.1191,119.8486,84.04,73,97,overcast clouds
355,Pisco,-13.7,-76.2167,60.85,82,100,overcast clouds
356,Jalu,29.0331,21.5482,81.0,34,0,clear sky
357,Khasan,42.4308,130.6434,73.8,79,85,overcast clouds
358,Cherskiy,68.75,161.3,68.95,53,43,scattered clouds
359,Ossora,59.2353,163.0719,58.3,81,82,broken clouds
360,Hounde,11.5,-3.5167,71.76,94,100,overcast clouds
361,Nouadhibou,20.931,-17.0347,73.08,77,63,broken clouds
362,Juneau,58.3019,-134.4197,57.11,94,100,overcast clouds
363,Monroe,43.1501,-77.6831,66.96,87,20,few clouds
364,Daru,-9.0763,143.2092,79.29,79,76,broken clouds
365,Clyde River,70.4692,-68.5914,34.03,100,100,overcast clouds
366,Lompoc,34.6391,-120.4579,62.78,93,100,fog
367,Ilo,-17.6394,-71.3375,57.56,84,41,scattered clouds
368,Perth,-31.9333,115.8333,67.08,54,20,few clouds
369,Kitami,43.8031,143.8908,83.17,55,31,scattered clouds
370,Anloga,5.7947,0.8973,73.04,90,100,overcast clouds
371,Corn Island,12.1694,-83.0418,81.05,84,100,overcast clouds
372,Darovskoy,58.77,47.9564,65.52,63,58,broken clouds
373,Normandin,48.8333,-72.5321,62.91,95,81,broken clouds
374,Yining,29.0361,114.5636,101.28,33,76,broken clouds
375,Salalah,17.0151,54.0924,75.29,100,100,light intensity drizzle
376,Antsohihy,-14.8796,47.9875,78.13,40,5,clear sky
377,Svetlogorsk,52.6333,29.7333,64.9,68,79,broken clouds
378,Moree,-29.4667,149.85,63.9,55,100,light rain
379,Denpasar,-8.65,115.2167,83.86,79,20,few clouds
380,Gunjur,13.2019,-16.7339,78.87,94,40,light rain
381,Kamenka,51.3223,42.7678,83.01,37,73,broken clouds
382,Bella Vista,36.4295,-94.2316,73.69,81,0,clear sky
383,Souillac,-20.5167,57.5167,70.3,62,88,overcast clouds
384,Rio Gallegos,-51.6226,-69.2181,35.65,93,0,clear sky
385,Egvekinot,66.3167,-179.1667,54.09,78,35,scattered clouds
386,Kununurra,-15.7667,128.7333,87.78,22,1,clear sky
387,Broken Hill,-31.95,141.4333,61.61,31,91,overcast clouds
388,Moville,42.4889,-96.0725,73.69,60,3,clear sky
389,Airai,-8.9266,125.4092,67.59,74,70,broken clouds
390,Gusino,54.7244,31.368,64.53,65,61,broken clouds
391,Mecca,21.4267,39.8261,91.81,55,72,broken clouds
392,Homer,59.6425,-151.5483,57.78,88,100,overcast clouds
393,Yarmolyntsi,49.1924,26.8373,60.85,75,90,overcast clouds
394,Samarai,-10.6167,150.6667,78.71,78,88,overcast clouds
395,Isiro,2.7739,27.616,70.07,95,100,overcast clouds
396,Coahuayana,18.7333,-103.6833,78.39,85,100,overcast clouds
397,Inuvik,68.3499,-133.7218,52.56,82,75,broken clouds
398,Port Blair,11.6667,92.75,84.06,73,100,overcast clouds
399,Petropavlovsk-Kamchatskiy,53.0452,158.6483,64.99,68,20,few clouds
400,Tual,-5.6667,132.75,79.88,82,67,broken clouds
401,Sabla,12.7525,4.7077,77.81,80,66,broken clouds
402,Bellavista,-7.0561,-76.5911,68.02,100,91,overcast clouds
403,Khani,41.9563,42.9566,71.17,45,0,clear sky
404,Cambuci,-21.5753,-41.9111,63.84,41,79,broken clouds
405,Huambo,-12.7761,15.7392,53.28,29,72,broken clouds
406,Krasnyy Kholm,58.0607,37.1203,64.69,55,8,clear sky
407,Tessalit,20.1986,1.0114,88.09,38,79,broken clouds
408,Wainwright,52.839,-110.8572,67.08,57,100,overcast clouds
409,Priiskovyy,51.9333,116.6333,72.93,48,55,broken clouds
410,Ocos,14.5094,-92.1933,77.18,75,100,overcast clouds
411,Krasnoselkup,65.7,82.4667,58.69,46,78,broken clouds
412,Ankara,39.9199,32.8543,71.2,50,76,broken clouds
413,Cabras,39.93,8.5314,76.33,60,3,clear sky
414,Tambopata,-12.7333,-69.1833,59.43,81,3,clear sky
415,Leningradskiy,69.3833,178.4167,48.81,78,62,broken clouds
416,Houma,29.5958,-90.7195,77.0,93,100,overcast clouds
417,Pinega,64.7001,43.3936,65.71,52,79,broken clouds
418,Leo,11.1,-2.1,71.42,92,87,overcast clouds
419,Beloha,-25.1667,45.05,71.73,43,1,clear sky
420,Lubango,-14.9172,13.4925,57.61,25,0,clear sky
421,Lamont,35.2597,-118.9143,84.83,31,60,broken clouds
422,Skara,58.3866,13.4384,65.43,82,4,clear sky
423,Meulaboh,4.1363,96.1285,83.95,66,100,light rain
